date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:43:02	67/67	---M--	200	added ('OK')	text/plain	date:Fri,%2018%20Oct%202019%2005:24:54%20GMT	http://rstheme.com/robots.txt		(from )
18:43:03	97329/97329	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Apr%202018%2022:04:36%20GMT	http://rstheme.com/products/html/seolab/	C:/xampp/htdocs/teleatento2/rstheme.com/products/html/seolab/index.html	(from )
18:43:05	53282/53282	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Oct%202019%2005:24:56%20GMT	http://rstheme.com/products/html/seolab/apple-touch-icon.png	C:/xampp/htdocs/teleatento2/rstheme.com/products/html/seolab/apple-touch-icon.0.delayed	(from http://rstheme.com/products/html/seolab/)
18:43:08	9207/9207	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Mar%202018%2020:10:56%20GMT	http://rstheme.com/products/html/seolab/images/fav.png	C:/xampp/htdocs/teleatento2/rstheme.com/products/html/seolab/images/fav.png	(from http://rstheme.com/products/html/seolab/)
18:43:09	121200/121200	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Jul%202017%2005:09:06%20GMT	http://rstheme.com/products/html/seolab/css/bootstrap.min.css	C:/xampp/htdocs/teleatento2/rstheme.com/products/html/seolab/css/bootstrap.min.css	(from http://rstheme.com/products/html/seolab/)
18:43:12	70824/70824	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Jul%202017%2005:09:06%20GMT	http://rstheme.com/products/html/seolab/css/animate.css	C:/xampp/htdocs/teleatento2/rstheme.com/products/html/seolab/css/animate.css	(from http://rstheme.com/products/html/seolab/)
18:43:14	4028/4028	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Jul%202017%2005:09:08%20GMT	http://rstheme.com/products/html/seolab/css/owl.carousel.css	C:/xampp/htdocs/teleatento2/rstheme.com/products/html/seolab/css/owl.carousel.css	(from http://rstheme.com/products/html/seolab/)
18:43:15	31000/31000	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Jul%202017%2005:09:06%20GMT	http://rstheme.com/products/html/seolab/css/font-awesome.min.css	C:/xampp/htdocs/teleatento2/rstheme.com/products/html/seolab/css/font-awesome.min.css	(from http://rstheme.com/products/html/seolab/)
18:43:16	1928/1928	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202017%2001:51:44%20GMT	http://rstheme.com/products/html/seolab/css/owl.theme.css	C:/xampp/htdocs/teleatento2/rstheme.com/products/html/seolab/css/owl.theme.css	(from http://rstheme.com/products/html/seolab/)
18:43:17	6951/6951	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Jul%202017%2005:09:08%20GMT	http://rstheme.com/products/html/seolab/css/magnific-popup.css	C:/xampp/htdocs/teleatento2/rstheme.com/products/html/seolab/css/magnific-popup.css	(from http://rstheme.com/products/html/seolab/)
18:43:18	1772/1772	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Oct%202017%2005:38:22%20GMT	http://rstheme.com/products/html/seolab/fonts/flaticon.css	C:/xampp/htdocs/teleatento2/rstheme.com/products/html/seolab/fonts/flaticon.css	(from http://rstheme.com/products/html/seolab/)
18:43:20	7247/7247	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Sep%202017%2006:16:36%20GMT	http://rstheme.com/products/html/seolab/css/stellarnav.css	C:/xampp/htdocs/teleatento2/rstheme.com/products/html/seolab/css/stellarnav.css	(from http://rstheme.com/products/html/seolab/)
